id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0zMTU2NDI3,3156427,Manuel,Ramirez,1.0,2,0.0,4.5,Languages
VGVhY2hlci0zMDgwMDQ1,3080045,safia,aidid ,5.0,1,100.0,3.0,History
VGVhY2hlci0yNTgzMzQ5,2583349,Tasca,Santimano,3.7,25,64.0,3.8,Geology
VGVhY2hlci0zMTE4NDg4,3118488,Sergio,Barrera,3.6,5,40.0,3.6,Physics
VGVhY2hlci0zMTUxMjE4,3151218,Christopher, Blier-wong,2.5,4,25.0,4.5,Mathematics
VGVhY2hlci0zMDgwMzY5,3080369,Yoonkyung,Lee,1.5,2,0.0,4.0,Sociology
VGVhY2hlci0zMTE4MjM0,3118234,Yulun,Xu,4.2,33,78.7879,2.3,Engineering
VGVhY2hlci0zMDgwMzY4,3080368,Simeon ,Newman,1.3,30,10.0,3.8,History
VGVhY2hlci0yOTI1NzI2,2925726,Carolyn,Guay,4.7,12,91.6667,3.7,Psychology
VGVhY2hlci0zMTIyODE1,3122815,Muhammad,Muhammad Asif,1.0,8,0.0,4.0,Criminal Justice
VGVhY2hlci0zMDg2NzIx,3086721,Letizia,Tesi,3.7,3,66.6667,3.0,History
VGVhY2hlci0zMDE5NDAw,3019400,Gael,Diebou,1.9,32,25.0,4.1,Mathematics
